Year,ITA_arrivals,FOR_arrivals
2005,378004,411114
2006,402906,477238
2007,433212,509395
2008,413796,463723
2009,440063,463464
2010,427702,479966
2011,464699,540020
2012,446180,537371
2013,416170,551865
2014,429335,552908
2015,407397,567830
2016,405433,577913
2017,410957,594110
2018,487608,749295
2019,504943,739601
2020,287956,157065
2021,403672,292305
2022,476866,623897
2023,475732,749491
2024,487284,819633
